Moon x	Moon y	Apollo x	Apollo y	t	vmag	r
380938467.726842	51659774.452137	507837273.864899	293380103.857773	50700.000000	1021.933096	384425348.397475
380924820.249038	51761052.367559	508481612.788280	293752748.390114	50800.000000	1021.932833	384425448.200245
380911146.045606	51862326.651434	509125942.008808	294125387.720278	50900.000000	1021.932569	384425548.198188
380897445.117528	51963597.296658	509770261.551551	294498021.860070	51000.000000	1021.932304	384425648.391297
380883717.465784	52064864.296131	510414571.441471	294870650.821253	51100.000000	1021.932039	384425748.779566
380869963.091360	52166127.642748	511058871.703431	295243274.615551	51200.000000	1021.931774	384425849.362987
380856181.995242	52267387.329410	511703162.362190	295615893.254646	51300.000000	1021.931508	384425950.141553
380842374.178417	52368643.349014	512347443.442408	295988506.750183	51400.000000	1021.931241	384426051.115256
380828539.641874	52469895.694460	512991714.968642	296361115.113764	51500.000000	1021.930974	384426152.284090
380814678.386607	52571144.358645	513635976.965350	296733718.356954	51600.000000	1021.930707	384426253.648046
380800790.413607	52672389.334471	514280229.456891	297106316.491278	51700.000000	1021.930439	384426355.207119
380786875.723872	52773630.614836	514924472.467523	297478909.528221	51800.000000	1021.930170	384426456.961300
380772934.318398	52874868.192640	515568706.021409	297851497.479231	51900.000000	1021.929901	384426558.910583
380758966.198184	52976102.060784	516212930.142612	298224080.355717	52000.000000	1021.929632	384426661.054960
380744971.364233	53077332.212168	516857144.855097	298596658.169048	52100.000000	1021.929361	384426763.394423
380730949.817547	53178558.639692	517501350.182735	298969230.930556	52200.000000	1021.929091	384426865.928966
380716901.559132	53279781.336258	518145546.149299	299341798.651536	52300.000000	1021.928820	384426968.658580
380702826.589993	53381000.294767	518789732.778466	299714361.343244	52400.000000	1021.928548	384427071.583259
380688724.911141	53482215.508121	519433910.093821	300086919.016897	52500.000000	1021.928276	384427174.702996
380674596.523586	53583426.969222	520078078.118850	300459471.683679	52600.000000	1021.928003	384427278.017782
380660441.428342	53684634.670971	520722236.876949	300832019.354732	52700.000000	1021.927730	384427381.527611
380646259.626421	53785838.606271	521366386.391420	301204562.041164	52800.000000	1021.927456	384427485.232475
380632051.118842	53887038.768024	522010526.685470	301577099.754045	52900.000000	1021.927182	384427589.132366
380617815.906623	53988235.149135	522654657.782216	301949632.504409	53000.000000	1021.926907	384427693.227278
380603553.990784	54089427.742506	523298779.704681	302322160.303253	53100.000000	1021.926632	384427797.517202
380589265.372347	54190616.541040	523942892.475800	302694683.161539	53200.000000	1021.926356	384427902.002132
380574950.052337	54291801.537642	524586996.118415	303067201.090190	53300.000000	1021.926080	384428006.682059
380560608.031779	54392982.725215	525231090.655277	303439714.100097	53400.000000	1021.925803	384428111.556976
380546239.311703	54494160.096664	525875176.109048	303812222.202113	53500.000000	1021.925526	384428216.626877
380531843.893138	54595333.644894	526519252.502304	304184725.407055	53600.000000	1021.925248	384428321.891752
380517421.777115	54696503.362810	527163319.857527	304557223.725706	53700.000000	1021.924970	384428427.351595
380502972.964669	54797669.243316	527807378.197114	304929717.168814	53800.000000	1021.924691	384428533.006398
380488497.456835	54898831.279319	528451427.543373	305302205.747091	53900.000000	1021.924412	384428638.856153
380473995.254650	54999989.463724	529095467.918527	305674689.471214	54000.000000	1021.924132	384428744.900854
380459466.359156	55101143.789438	529739499.344709	306047168.351828	54100.000000	1021.923851	384428851.140492
380444910.771393	55202294.249366	530383521.843968	306419642.399540	54200.000000	1021.923570	384428957.575059
380430328.492403	55303440.836416	531027535.438266	306792111.624925	54300.000000	1021.923289	384429064.204548
380415719.523233	55404583.543495	531671540.149481	307164576.038523	54400.000000	1021.923007	384429171.028952
380401083.864930	55505722.363509	532315535.999405	307537035.650840	54500.000000	1021.922725	384429278.048263
380386421.518543	55606857.289367	532959523.009746	307909490.472348	54600.000000	1021.922442	384429385.262472
380371732.485122	55707988.313976	533603501.202129	308281940.513487	54700.000000	1021.922158	384429492.671573
380357016.765721	55809115.430244	534247470.598095	308654385.784661	54800.000000	1021.921874	384429600.275559
380342274.361395	55910238.631081	534891431.219100	309026826.296243	54900.000000	1021.921590	384429708.074419
380327505.273200	56011357.909394	535535383.086521	309399262.058571	55000.000000	1021.921305	384429816.068149
380312709.502195	56112473.258092	536179326.221651	309771693.081951	55100.000000	1021.921019	384429924.256738
380297887.049441	56213584.670086	536823260.645700	310144119.376656	55200.000000	1021.920733	384430032.640180
380283037.915999	56314692.138284	537467186.379801	310516540.952927	55300.000000	1021.920447	384430141.218467
380268162.102935	56415795.655597	538111103.445003	310888957.820971	55400.000000	1021.920160	384430249.991592
380253259.611315	56516895.214934	538755011.862274	311261369.990964	55500.000000	1021.919872	384430358.959546
380238330.442206	56617990.809207	539398911.652506	311633777.473048	55600.000000	1021.919584	384430468.122322
380223374.596679	56719082.431326	540042802.836507	312006180.277336	55700.000000	1021.919295	384430577.479911
380208392.075806	56820170.074201	540686685.435010	312378578.413906	55800.000000	1021.919006	384430687.032307
380193382.880661	56921253.730746	541330559.468667	312750971.892805	55900.000000	1021.918716	384430796.779500
380178347.012321	57022333.393870	541974424.958053	313123360.724050	56000.000000	1021.918426	384430906.721484
380163284.471861	57123409.056487	542618281.923664	313495744.917624	56100.000000	1021.918136	384431016.858250
380148195.260363	57224480.711509	543262130.385922	313868124.483481	56200.000000	1021.917844	384431127.189791
380133079.378908	57325548.351847	543905970.365168	314240499.431542	56300.000000	1021.917553	384431237.716098
380117936.828579	57426611.970416	544549801.881668	314612869.771697	56400.000000	1021.917260	384431348.437164
380102767.610461	57527671.560127	545193624.955612	314985235.513808	56500.000000	1021.916968	384431459.352980
380087571.725642	57628727.113896	545837439.607117	315357596.667701	56600.000000	1021.916674	384431570.463539
380072349.175211	57729778.624634	546481245.856221	315729953.243177	56700.000000	1021.916381	384431681.768833
380057099.960260	57830826.085258	547125043.722888	316102305.250002	56800.000000	1021.916086	384431793.268853
380041824.081880	57931869.488680	547768833.227009	316474652.697915	56900.000000	1021.915792	384431904.963592
380026521.541168	58032908.827816	548412614.388401	316846995.596622	57000.000000	1021.915496	384432016.853042
380011192.339221	58133944.095581	549056387.226805	317219333.955800	57100.000000	1021.915201	384432128.937195
379995836.477136	58234975.284890	549700151.761891	317591667.785096	57200.000000	1021.914904	384432241.216044
379980453.956015	58336002.388659	550343908.013254	317963997.094129	57300.000000	1021.914607	384432353.689578
379965044.776959	58437025.399803	550987656.000421	318336321.892486	57400.000000	1021.914310	384432466.357791
379949608.941074	58538044.311238	551631395.742842	318708642.189724	57500.000000	1021.914012	384432579.220674
379934146.449467	58639059.115883	552275127.259897	319080957.995372	57600.000000	1021.913714	384432692.278220
379918657.303244	58740069.806652	552918850.570896	319453269.318930	57700.000000	1021.913415	384432805.530421
379903141.503517	58841076.376463	553562565.695075	319825576.169868	57800.000000	1021.913115	384432918.977268
379887599.051398	58942078.818235	554206272.651602	320197878.557626	57900.000000	1021.912816	384433032.618752
379872029.948000	59043077.124884	554849971.459575	320570176.491617	58000.000000	1021.912515	384433146.454867
379856434.194440	59144071.289328	555493662.138020	320942469.981224	58100.000000	1021.912214	384433260.485603
379840811.791835	59245061.304487	556137344.705895	321314759.035802	58200.000000	1021.911913	384433374.710954
379825162.741305	59346047.163278	556781019.182088	321687043.664676	58300.000000	1021.911611	384433489.130909
379809487.043972	59447028.858620	557424685.585418	322059323.877145	58400.000000	1021.911308	384433603.745462
379793784.700960	59548006.383434	558068343.934639	322431599.682478	58500.000000	1021.911005	384433718.554604
379778055.713393	59648979.730639	558711994.248433	322803871.089916	58600.000000	1021.910702	384433833.558327
379762300.082400	59749948.893153	559355636.545415	323176138.108671	58700.000000	1021.910398	384433948.756622
