Moon x	Moon y	Apollo x	Apollo y	t	vmag	radM
315672513.336416	238780706.122687	370127162.512609	233558781.710555	232000.000000	1141.603762	54703280.932329
315616308.020104	238862021.334163	370190148.219767	233653978.241390	232100.000000	1141.337249	54820608.421637
315560082.417111	238943321.192446	370253100.094330	233749165.220848	232200.000000	1141.071126	54937933.407284
315503836.531701	239024605.692806	370316018.214444	233844342.638305	232300.000000	1140.805390	55055255.895808
315447570.368143	239105874.830510	370378902.657817	233939510.483268	232400.000000	1140.540041	55172575.893880
315391283.930703	239187128.600830	370441753.501716	234034668.745373	232500.000000	1140.275075	55289893.408306
315334977.223650	239268366.999037	370504570.822975	234129817.414389	232600.000000	1140.010492	55407208.446019
315278650.251255	239349590.020404	370567354.697998	234224956.480210	232700.000000	1139.746290	55524521.014086
315222303.017787	239430797.660205	370630105.202762	234320085.932857	232800.000000	1139.482466	55641831.119695
315165935.527518	239511989.913715	370692822.412818	234415205.762477	232900.000000	1139.219021	55759138.770159
315109547.784720	239593166.776211	370755506.403301	234510315.959340	233000.000000	1138.955951	55876443.972913
315053139.793666	239674328.242970	370818157.248924	234605416.513838	233100.000000	1138.693255	55993746.735511
314996711.558632	239755474.309271	370880775.023992	234700507.416483	233200.000000	1138.430932	56111047.065622
314940263.083891	239836604.970394	370943359.802396	234795588.657909	233300.000000	1138.168979	56228344.971031
314883794.373720	239917720.221621	371005911.657620	234890660.228865	233400.000000	1137.907396	56345640.459636
314827305.432396	239998820.058235	371068430.662748	234985722.120218	233500.000000	1137.646181	56462933.539444
314770796.264197	240079904.475517	371130916.890461	235080774.322950	233600.000000	1137.385332	56580224.218572
314714266.873402	240160973.468755	371193370.413042	235175816.828157	233700.000000	1137.124847	56697512.505240
314657717.264289	240242027.033233	371255791.302382	235270849.627049	233800.000000	1136.864726	56814798.407776
314601147.441141	240323065.164240	371318179.629980	235365872.710947	233900.000000	1136.604965	56932081.934608
314544557.408238	240404087.857063	371380535.466949	235460886.071280	234000.000000	1136.345565	57049363.094264
314487947.169862	240485095.106993	371442858.884015	235555889.699589	234100.000000	1136.086523	57166641.895373
314431316.730298	240566086.909321	371505149.951524	235650883.587521	234200.000000	1135.827838	57283918.346658
314374666.093829	240647063.259338	371567408.739443	235745867.726831	234300.000000	1135.569508	57401192.456936
314317995.264741	240728024.152338	371629635.317362	235840842.109377	234400.000000	1135.311532	57518464.235119
314261304.247319	240808969.583615	371691829.754500	235935806.727125	234500.000000	1135.053909	57635733.690210
314204593.045851	240889899.548466	371753992.119706	236030761.572139	234600.000000	1134.796636	57753000.831298
314147861.664625	240970814.042188	371816122.481462	236125706.636590	234700.000000	1134.539713	57870265.667564
314091110.107929	241051713.060078	371878220.907885	236220641.912746	234800.000000	1134.283137	57987528.208271
314034338.380053	241132596.597436	371940287.466732	236315567.392977	234900.000000	1134.026908	58104788.462768
313977546.485288	241213464.649563	372002322.225402	236410483.069751	235000.000000	1133.771024	58222046.440487
313920734.427926	241294317.211761	372064325.250937	236505388.935632	235100.000000	1133.515484	58339302.150939
313863902.212258	241375154.279332	372126296.610026	236600284.983283	235200.000000	1133.260285	58456555.603714
313807049.842578	241455975.847582	372188236.369010	236695171.205459	235300.000000	1133.005428	58573806.808483
313750177.323182	241536781.911815	372250144.593881	236790047.595013	235400.000000	1132.750909	58691055.774988
313693284.658363	241617572.467338	372312021.350286	236884914.144889	235500.000000	1132.496729	58808302.513049
